country_ch,country_en,cases,deaths
不丹,Bhutan,"62,512",21
敘利亞,Syria,"57,420","3,163"
蒲隆地,Burundi,"51,018",38
塞席爾,Seychelles,"50,068",171
加彭,Gabon,"48,973",306
安道爾,Andorra,"47,446",158
巴布亞紐幾內亞,Papua New Guinea,"46,427",668
坦尚尼亞,Tanzania,"40,806",845
多哥,Togo,"39,337",290
幾內亞,Guinea,"38,153",464
巴哈馬,Bahamas,"37,491",833
賴索托,Lesotho,"34,490",706
海地,Haiti,"33,874",860
馬利,Mali,"32,764",743
聖露西亞,Saint Lucia,"29,550",404
貝南,Benin,"27,980",163
剛果共和國,Congo,"25,375",386
索羅門群島,Solomon islands,"24,575",153
東帝汶,East Timor,"23,364",138
聖馬利諾,San Marino,"22,615",120
密克羅尼西亞聯邦,Micronesia,"22,203",55
布吉納法索,Burkina Faso,"21,631",387
列支敦斯登,Liechtenstein,"21,094",88
格瑞那達,Grenada,"19,613",237
索馬利亞,Somalia,"18,863",930
南蘇丹,South Sudan,"18,352",138
塔吉克,Tajikistan,"17,786",125
赤道幾內亞,Equatorial Guinea,"17,184",183
東加,Tonga,"16,182",12
薩摩亞,Samoa,"15,970",29
多米尼克,Dominica,"15,760",74
摩納哥,Monaco,"15,713",63
吉布地,Djibouti,"15,690",189
馬紹爾群島,Marshall Islands,"15,547",17
中非,Central Africa,"15,311",113
尼加拉瓜,Nicaragua,"15,263",245
甘比亞,Gambia,"12,586",372
萬那杜,Vanuatu,"11,952",14
葉門,Yemen,"11,945","2,159"
索馬利蘭,Somaliland,"10,577",619
厄利垂亞,Eritrea,"10,189",103
尼日,Niger,"9,931",312
聖文森及格瑞那丁,Saint Vincent and the Grenadines,"9,500",116
安地卡及巴布達,Antigua and Barbuda,"9,106",146
葛摩,Comoros,"8,977",161
幾內亞比索,Guinea-Bissau,"8,848",176
賴比瑞亞,Liberia,"8,037",294
獅子山,Sierra Leone,"7,760",126
查德,Chad,"7,648",194
聖克里斯多福及尼維斯,Saint Kitts and Nevis,"6,552",46
庫克群島,Cook Islands,"6,389",1
聖多美普林西比,Sao Tome and Principe,"6,279",77
帛琉,Palau,"5,933",9
諾魯,Nauru,"4,621",1
吉里巴斯,Kiribati,"3,430",13
吐瓦魯,Tuvalu,"2,779",0
澳門,Macao,"1,040",6
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
紐埃,Niue,187,0
教廷,Holy See,29,0
北韓,North Korea,2,1
